"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G6SJXCV7","presentation","2018","Dennis, Tim","Building interactive data applications with Shiny","","","","","https://calendar.library.ucla.edu/event/4603540","Shiny is a package for the widely used open source R programming language that allows users to build interactive documents, dashboards, and web applications. It works by compiling R code into HTML, CSS, and Javascript, thus allowing developers to focus on a single language when building interactive data visualization applications. Although, the R language does have an initial steep learning curve, due to its growing popularity, particularly among scientist and other practitioners who are not programmers by training, this obstacle is diminished by a robust ecosystem of documentation and training materials. In this spirit, we are offering this workshop in an effort to jumpstart interest and community-building in the library world.","2018-12-04","2019-11-11 19:59:29","2019-12-01 02:54:47","2011-10-11","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJUSDR3I","presentation","2018","Dennis, Tim","Data cleaning and preparation in R using DPLYR and TidyR","","","","","","It's commonly said that data scientists spend 80% of their time cleaning and manipulating data and only 20% of their time actually analyzing it. For this reason, it is critical to become familiar with the data cleaning process and all of the tools available to you along the way. This course provides a very basic introduction to cleaning data in R using the tidyr, dplyr, and stringr packages. After taking the course you'll be able to go from raw data to awesome insights as quickly and painlessly as possible!","2018-10-18","2019-11-11 19:59:29","2019-12-01 02:57:24","","","","","","","","","","","","","","","","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECTYXH7H","presentation","2018","Dennis, Tim; Schneider, Juliane; Erdmann, Chris; Chodacki, John","Library Carpentry Workshop","","","","","https://ucla-data-archive.github.io/2018-05-24-ucla/","Library Carpentry is made by librarians, for librarians to help you: automate repetitive, boring, error-prone tasks create, maintain and analyse sustainable and reusable data work effectively with IT and systems colleagues better understand the use of software in research and much more...","2018-05-24","2019-11-11 19:59:29","2019-12-01 03:00:57","2019-10-10","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TE98YDZH","presentation","2018","Dennis, Tim; Ball, Richard; Medeiros, Norm","Faculty Development Workshop: Teaching Transparent Methods of Empirical Research","","","","","https://calendar.library.ucla.edu/event/3845834","This workshop will present several workflows and tools for conducting and documenting quantitative research to ensure transparency and reproducibility of the data processing and analysis that underlie reported statistical results.  There will be a particular emphasis on strategies instructors can use to integrate these methods into their classes and advising, so that students are immersed in principles and practices of transparency early in their research training.","2018-03-12","2019-11-11 19:59:29","2019-12-01 03:01:16","2019-10-10","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZQYSY6A","presentation","2018","Dennis, Tim","Data Management: File Organization","","","","","https://calendar.library.ucla.edu/event/3852521","Do you struggle with organizing your data? This workshop teaches practical techniques for organizing your data files.","2018-02-13","2019-11-11 19:59:29","2019-12-01 03:02:59","2019-10-10","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TU86FWH","presentation","2018","Lowenberg, Daniella; Dennis, Tim","Data Sharing Bootcamp","","","","","https://calendar.library.ucla.edu/event/3845582","Have you ever been asked to share your data by a journal editor or funder? Do you want to make your research more reproducible and data citable? This hands-on practical bootcamp will cover all of these topics and give you the skills to Comply with journal/funder data sharing policies Find relevant data repositories Upload your data into a repository Ensure your data is reusable Understand “metadata” Please bring your laptops and your data!","2018-02-12","2019-11-11 19:59:29","2019-12-01 03:03:05","2019-11-05","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6N3CEHUY","presentation","2018","Dennis, Tim","Data Cleaning with R","","","","","https://calendar.library.ucla.edu/event/3835765","It's commonly said that data scientists spend 80% of their time cleaning and manipulating data and only 20% of their time actually analyzing it. For this reason, it is critical to become familiar with the data cleaning process and all of the tools available to you along the way. This course provides a very basic introduction to cleaning data in R using the tidyr, dplyr, and stringr packages. After taking the course you'll be able to go from raw data to awesome insights as quickly and painlessly as possible!","2018-02-06","2019-11-11 19:59:29","2019-12-01 03:03:14","2019-11-05","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWBKY3Q7","presentation","2018","Dennis, Tim","Data Visualization in R","","","","","https://calendar.library.ucla.edu/event/3541619","Creating meaningful and attractive graphics is a core skill in both data exploration and communicating your findings. In this workshop, you'll gain experience in using the R package ggplot2 to make publication-quality graphics. We'll cover the vernacular of the grammar-of-graphics, the conceptual model behind ggplot2 and how to use that to build plots.","2018-01-30","2019-11-11 19:59:29","2019-12-01 03:03:19","2019-11-05","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVUBULEW","presentation","2018","Dennis, Tim","Introduction to R","","","","","https://calendar.library.ucla.edu/event/3835760","This hands-on workshop will cover basic concepts and tools related to using R in the context of data analysis. Participants will be encouraged to help one another and to apply what they have learned to their own research problems.  We'll cover:  A basic introduction to R and RStudio Visualizing your data with ggplot2, the most popular graphing package in R Tidying and transforming data for analysis Modularizing your code through writing functions You'll come out of the course with a good foundation on the most important tools in R for working and communicating with data.  If you want to delve more deeply into data visualization and manipulation, take our other courses:","2018-01-25","2019-11-11 19:59:29","2019-12-01 03:03:34","2019-11-05","","","","","","","","","","","","","UCLA Library","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTGZQUKT","presentation","2017","Dennis, Tim","R Workshop","","","","","https://ucla-data-archive.netlify.com/2017/11/28/r-workshop---master-of-social-science/","The goal of this lesson is to teach novice programmers to write modular code and best practices for using R for data analysis. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. We find that many scientists who come to Software Carpentry workshops use R and want to learn more. The emphasis of these materials is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.","2017-11-28","2019-11-11 19:59:29","2019-12-01 03:03:48","2019-11-11","","","","","","","","","","","","","UCLA","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UCLA Master of Social Science","","","","","","","","","","","","","","","",""
"RXXDJVAN","presentation","2017","Dennis, Tim","SQL Workshop","","","","","https://ucla-data-archive.netlify.com/2017/11/02/sql-workshop---master-of-social-science/","Three common options for storage are text files, spreadsheets, and databases. Text files are easiest to create, and work well with version control, but then we would have to build search and analysis tools ourselves. Spreadsheets are good for doing simple analyses, but they don’t handle large or complex data sets well. Databases, however, include powerful tools for search and analysis, and can handle large, complex data sets. These lessons will show how to use a database to explore the expeditions’ data.","2017-11-02","2019-11-11 19:59:29","2019-12-01 03:04:44","2011-11-11","","","","","","","","","","","","","UCLA","en","","Workshop","","","","","","","","","instr-lib-spnsr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UCLA Master of Social Science","","","","","","","","","","","","","","","",""
